Authors,Journal,YearPublication,Group,MatrixClassAuthor,MatrixClassNumber,N
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Juveniles: 2.01-4 cm plant diameter,3,7
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Adults I: 4.01-7 cm plant diameter,4,52
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Adults II: 7.01-10 cm plant diameter,5,66
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Adults III: >10 cm plant diameter,6,9
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Clonal infantiles: < 2 cm plant diameter,7,14
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Clonal juveniles: 2.01-4 cm plant diameter,8,53
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Clonal adults I:  4.01-7 cm plant diameter,9,45
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2005,Clonal Adults 2: 7.01-10 cm plant diameter,10,12
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Infantiles: 1.01-2 cm plant diameter,2,2
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Juveniles: 2.01-4 cm plant diameter,3,4
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Adults I: 4.01-7 cm plant diameter,4,56
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Adults II: 7.01-10 cm plant diameter,5,52
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Adults III: >10 cm plant diameter,6,7
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Clonal infantiles: < 2 cm plant diameter,7,15
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Clonal juveniles: 2.01-4 cm plant diameter,8,43
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Clonal adults I:  4.01-7 cm plant diameter,9,49
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Benito 2006,Clonal Adults 2: 7.01-10 cm plant diameter,10,11
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2004,Pl��ntulas: < 1 cm plant diameter,1,NA
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2004,Infantiles: 1.01-2 cm plant diameter,2,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2004,Juveniles: 2.01-4 cm plant diameter,3,10
Ferrer; Duran; M̩ndez; Dorantes; Dzib,Bol Soc Bot Mex,2011,San Bruno 2004,Adults I: 4.01-7 cm plant diameter,4,5
